Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer,Shimmer
Timestamp,Timestamp,Wide Range Accelerometer X,Wide Range Accelerometer X,Wide Range Accelerometer Y,Wide Range Accelerometer Y,Wide Range Accelerometer Z,Wide Range Accelerometer Z,Gyroscope X,Gyroscope X,Gyroscope Y,Gyroscope Y,Gyroscope Z,Gyroscope Z,Magnetometer X,Magnetometer X,Magnetometer Y,Magnetometer Y,Magnetometer Z,Magnetometer Z
RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL,RAW,CAL
no units,mSecs,no units,m/(sec^2),no units,m/(sec^2),no units,m/(sec^2),no units,deg/sec,no units,deg/sec,no units,deg/sec,no units,local,no units,local,no units,local
12849950,16445.3125,-2944,1.8050275904,720,0.4414469651,-15888,9.7412630288,-17,2.5609756098,-42,1.0365853659,-11,0.6707317073,3,-0.0130434783,-45,-0.1956521739,141,-0.687804878
12850590,16464.84375,-2912,1.7854077253,672,0.4120171674,-15808,9.692213366,-17,2.5609756098,-42,1.0365853659,-11,0.6707317073,4,-0.0173913043,-49,-0.2130434783,142,-0.6926829268
12851230,16484.375,-3008,1.8442673207,704,0.4316370325,-15744,9.6529736358,-12,2.743902439,-45,0.7317073171,-15,0.9146341463,3,-0.0130434783,-47,-0.2043478261,142,-0.6926829268
12851870,16503.90625,-2976,1.8246474555,736,0.4512568976,-15824,9.7020232986,-25,2.8048780488,-46,1.5243902439,-25,1.5243902439,0,0,-44,-0.1913043478,141,-0.687804878
12852510,16523.4375,-2960,1.814837523,720,0.4414469651,-15888,9.7412630288,-25,2.8048780488,-46,1.5243902439,-25,1.5243902439,4,-0.0173913043,-45,-0.1956521739,141,-0.687804878
12853150,16542.96875,-2976,1.8246474555,720,0.4414469651,-15808,9.692213366,-7,2.6829268293,-44,0.4268292683,-20,1.2195121951,2,-0.0086956522,-45,-0.1956521739,140,-0.6829268293
12853790,16562.5,-3104,1.903126916,800,0.4904966278,-15952,9.780502759,-7,2.6829268293,-44,0.4268292683,-20,1.2195121951,2,-0.0086956522,-47,-0.2043478261,142,-0.6926829268
12854430,16582.03125,-3056,1.8736971183,752,0.4610668302,-15856,9.7216431637,-6,2.9268292683,-48,0.3658536585,-21,1.2804878049,3,-0.0130434783,-47,-0.2043478261,142,-0.6926829268
12855070,16601.5625,-3104,1.903126916,720,0.4414469651,-15840,9.7118332311,2,3.1707317073,-52,-0.1219512195,-15,0.9146341463,4,-0.0173913043,-48,-0.2086956522,142,-0.6926829268
12855710,16621.09375,-3216,1.9717964439,720,0.4414469651,-15792,9.6824034335,2,3.1707317073,-52,-0.1219512195,-15,0.9146341463,2,-0.0086956522,-48,-0.2086956522,143,-0.6975609756
12856350,16640.625,-3056,1.8736971183,704,0.4316370325,-15824,9.7020232986,10,2.9268292683,-48,-0.6097560976,-16,0.9756097561,3,-0.0130434783,-44,-0.1913043478,140,-0.6829268293
12856990,16660.15625,-3152,1.9325567137,704,0.4316370325,-15872,9.7314530963,-10,2.5,-41,0.6097560976,-13,0.7926829268,4,-0.0173913043,-49,-0.2130434783,141,-0.687804878
12857630,16679.6875,-3104,1.903126916,752,0.4610668302,-15840,9.7118332311,-10,2.5,-41,0.6097560976,-13,0.7926829268,1,-0.0043478261,-47,-0.2043478261,141,-0.687804878
12858270,16699.21875,-3184,1.9521765788,752,0.4610668302,-15728,9.6431637032,7,2.1951219512,-36,-0.4268292683,3,-0.1829268293,3,-0.0130434783,-42,-0.1826086957,142,-0.6926829268
12858910,16718.75,-3120,1.9129368486,704,0.4316370325,-15712,9.6333537707,7,2.1951219512,-36,-0.4268292683,3,-0.1829268293,2,-0.0086956522,-43,-0.1869565217,142,-0.6926829268
12859550,16738.28125,-3056,1.8736971183,624,0.3825873697,-15824,9.7020232986,5,2.3170731707,-38,-0.3048780488,10,-0.6097560976,4,-0.0173913043,-48,-0.2086956522,142,-0.6926829268
12860190,16757.8125,-3056,1.8736971183,720,0.4414469651,-15872,9.7314530963,2,2.1341463415,-35,-0.1219512195,3,-0.1829268293,2,-0.0086956522,-43,-0.1869565217,141,-0.687804878
12860830,16777.34375,-2960,1.814837523,720,0.4414469651,-15840,9.7118332311,2,2.1341463415,-35,-0.1219512195,3,-0.1829268293,3,-0.0130434783,-43,-0.1869565217,142,-0.6926829268
12861470,16796.875,-2944,1.8050275904,672,0.4120171674,-15824,9.7020232986,17,2.5,-41,-1.0365853659,6,-0.3658536585,1,-0.0043478261,-45,-0.1956521739,141,-0.687804878
12862110,16816.40625,-3008,1.8442673207,688,0.4218270999,-15888,9.7412630288,17,2.5,-41,-1.0365853659,6,-0.3658536585,3,-0.0130434783,-47,-0.2043478261,141,-0.687804878
12862750,16835.9375,-3168,1.9423666462,672,0.4120171674,-15936,9.7706928265,29,2.5,-41,-1.7682926829,7,-0.4268292683,1,-0.0043478261,-48,-0.2086956522,141,-0.687804878
12863390,16855.46875,-3168,1.9423666462,624,0.3825873697,-15904,9.7510729614,4,2.5609756098,-42,-0.243902439,3,-0.1829268293,4,-0.0173913043,-44,-0.1913043478,141,-0.687804878
12864030,16875,-3040,1.8638871858,624,0.3825873697,-16000,9.8099325567,4,2.5609756098,-42,-0.243902439,3,-0.1829268293,2,-0.0086956522,-48,-0.2086956522,142,-0.6926829268
12864670,16894.53125,-3024,1.8540772532,640,0.3923973023,-16032,9.8295524218,-1,2.6829268293,-44,0.0609756098,4,-0.243902439,1,-0.0043478261,-45,-0.1956521739,139,-0.6780487805
12865310,16914.0625,-3072,1.8835070509,624,0.3825873697,-15936,9.7706928265,-1,2.6829268293,-44,0.0609756098,4,-0.243902439,0,0,-47,-0.2043478261,140,-0.6829268293
12865950,16933.59375,-3088,1.8933169834,656,0.4022072348,-15968,9.7903126916,0,3.1097560976,-51,0,10,-0.6097560976,0,0,-48,-0.2086956522,140,-0.6829268293
12866590,16953.125,-2976,1.8246474555,704,0.4316370325,-15920,9.7608828939,-16,3.4756097561,-57,0.9756097561,6,-0.3658536585,2,-0.0086956522,-44,-0.1913043478,141,-0.687804878
12867230,16972.65625,-2848,1.7461679951,688,0.4218270999,-15808,9.692213366,-16,3.4756097561,-57,0.9756097561,6,-0.3658536585,1,-0.0043478261,-43,-0.1869565217,140,-0.6829268293
12867870,16992.1875,-2992,1.8344573881,736,0.4512568976,-15808,9.692213366,-11,3.5975609756,-59,0.6707317073,-3,0.1829268293,1,-0.0043478261,-44,-0.1913043478,141,-0.687804878
12868510,17011.71875,-2976,1.8246474555,816,0.5003065604,-15808,9.692213366,-16,3.7195121951,-61,0.9756097561,-8,0.487804878,1,-0.0043478261,-40,-0.1739130435,140,-0.6829268293
12869150,17031.25,-2960,1.814837523,752,0.4610668302,-15824,9.7020232986,-16,3.7195121951,-61,0.9756097561,-8,0.487804878,3,-0.0130434783,-46,-0.2,141,-0.687804878
12869790,17050.78125,-2992,1.8344573881,720,0.4414469651,-15648,9.5941140405,0,3.4756097561,-57,0,-7,0.4268292683,0,0,-47,-0.2043478261,140,-0.6829268293
12870430,17070.3125,-2992,1.8344573881,720,0.4414469651,-15648,9.5941140405,0,3.4756097561,-57,0,-7,0.4268292683,2,-0.0086956522,-46,-0.2,139,-0.6780487805
12871070,17089.84375,-3040,1.8638871858,720,0.4414469651,-15696,9.6235438381,14,2.8658536585,-47,-0.8536585366,-4,0.243902439,4,-0.0173913043,-48,-0.2086956522,142,-0.6926829268
12871710,17109.375,-3104,1.903126916,672,0.4120171674,-15760,9.6627835684,1,2.6829268293,-44,-0.0609756098,-3,0.1829268293,1,-0.0043478261,-43,-0.1869565217,139,-0.6780487805
12872350,17128.90625,-2960,1.814837523,640,0.3923973023,-15808,9.692213366,1,2.6829268293,-44,-0.0609756098,-3,0.1829268293,0,0,-44,-0.1913043478,141,-0.687804878
12872990,17148.4375,-2912,1.7854077253,704,0.4316370325,-15728,9.6431637032,9,2.5609756098,-42,-0.5487804878,-4,0.243902439,1,-0.0043478261,-41,-0.1782608696,140,-0.6829268293
12873630,17167.96875,-2864,1.7559779277,704,0.4316370325,-15840,9.7118332311,9,2.5609756098,-42,-0.5487804878,-4,0.243902439,1,-0.0043478261,-48,-0.2086956522,141,-0.687804878
12874270,17187.5,-3008,1.8442673207,656,0.4022072348,-15760,9.6627835684,18,2.3780487805,-39,-1.0975609756,-6,0.3658536585,1,-0.0043478261,-47,-0.2043478261,139,-0.6780487805
12874910,17207.03125,-3088,1.8933169834,720,0.4414469651,-15824,9.7020232986,-9,2.5,-41,0.5487804878,-8,0.487804878,2,-0.0086956522,-47,-0.2043478261,139,-0.6780487805
12875550,17226.5625,-2976,1.8246474555,736,0.4512568976,-15920,9.7608828939,-9,2.5,-41,0.5487804878,-8,0.487804878,0,0,-41,-0.1782608696,139,-0.6780487805
12876190,17246.09375,-2928,1.7952176579,752,0.4610668302,-15968,9.7903126916,-9,2.8658536585,-47,0.5487804878,-12,0.7317073171,2,-0.0086956522,-43,-0.1869565217,141,-0.687804878
12876830,17265.625,-2912,1.7854077253,752,0.4610668302,-15920,9.7608828939,-9,2.8658536585,-47,0.5487804878,-12,0.7317073171,2,-0.0086956522,-44,-0.1913043478,142,-0.6926829268
12877470,17285.15625,-5536,3.3942366646,1760,1.0790925812,-23408,14.3519313305,16,2.987804878,-49,-0.9756097561,-9,0.5487804878,3,-0.0130434783,-46,-0.2,143,-0.6975609756
12878110,17304.6875,-4688,2.8743102391,2256,1.3832004905,-17152,10.5162477008,1538,-60.6097560976,994,-93.7804878049,-11,0.6707317073,5,-0.0217391304,-36,-0.1565217391,136,-0.6634146341
12878750,17324.21875,-13856,8.4954015941,1456,0.8927038627,-18928,11.6051502146,1538,-60.6097560976,994,-93.7804878049,-11,0.6707317073,6,-0.0260869565,-41,-0.1782608696,136,-0.6634146341
12879390,17343.75,-10112,6.1998773758,1280,0.7847946045,-19120,11.7228694053,-1585,48.7195121951,-799,96.6463414634,228,-13.9024390244,-1,0.0043478261,-42,-0.1826086957,138,-0.6731707317
12880030,17363.28125,4736,-2.9037400368,-960,-0.5885959534,-13904,8.5248313918,-164,-4.2073170732,69,10,-170,10.3658536585,1,-0.0043478261,-41,-0.1782608696,140,-0.6829268293
12880670,17382.8125,-1456,0.8927038627,1312,0.8044144697,-15696,9.6235438381,-164,-4.2073170732,69,10,-170,10.3658536585,2,-0.0086956522,-42,-0.1826086957,141,-0.687804878
12881310,17402.34375,-4112,2.5211526671,-752,-0.4610668302,-16976,10.4083384427,16,-2.8048780488,46,-0.9756097561,35,-2.1341463415,0,0,-38,-0.1652173913,141,-0.687804878
12881950,17421.875,-3120,1.9129368486,112,0.0686695279,-17120,10.4966278357,16,-2.8048780488,46,-0.9756097561,35,-2.1341463415,3,-0.0130434783,-42,-0.1826086957,141,-0.687804878
12882590,17441.40625,-3456,2.1189454323,-64,-0.0392397302,-17632,10.8105456775,154,-1.2804878049,21,-9.3902439024,9,-0.5487804878,2,-0.0086956522,-44,-0.1913043478,142,-0.6926829268
12883230,17460.9375,-3408,2.0895156346,16,0.0098099326,-17744,10.8792152054,-106,5.3658536585,-88,6.4634146341,-47,2.8658536585,1,-0.0043478261,-46,-0.2,142,-0.6926829268
12883870,17480.46875,-3232,1.9816063765,-64,-0.0392397302,-17376,10.6535867566,-106,5.3658536585,-88,6.4634146341,-47,2.8658536585,3,-0.0130434783,-46,-0.2,141,-0.687804878
12884510,17500,-2944,1.8050275904,-160,-0.0980993256,-16832,10.3200490497,-91,8.1097560976,-133,5.5487804878,-47,2.8658536585,1,-0.0043478261,-46,-0.2,142,-0.6926829268
12885150,17519.53125,-2528,1.549969344,0,0,-16400,10.0551808706,-91,8.1097560976,-133,5.5487804878,-47,2.8658536585,1,-0.0043478261,-43,-0.1869565217,141,-0.687804878
12885790,17539.0625,-2960,1.814837523,96,0.0588595953,-16224,9.9472716125,69,7.9268292683,-130,-4.2073170732,-25,1.5243902439,0,0,-40,-0.1739130435,141,-0.687804878
12886430,17558.59375,-3392,2.079705702,240,0.1471489884,-16128,9.8884120172,67,8.5975609756,-141,-4.0853658537,-13,0.7926829268,1,-0.0043478261,-41,-0.1782608696,141,-0.687804878
12887070,17578.125,-3440,2.1091354997,336,0.2060085837,-15856,9.7216431637,67,8.5975609756,-141,-4.0853658537,-13,0.7926829268,1,-0.0043478261,-42,-0.1826086957,140,-0.6829268293
12887710,17597.65625,-3216,1.9717964439,304,0.1863887186,-15520,9.51563458,-28,8.2926829268,-136,1.7073170732,-6,0.3658536585,2,-0.0086956522,-40,-0.1739130435,142,-0.6926829268
12888350,17617.1875,-3104,1.903126916,288,0.176578786,-15456,9.4763948498,-28,8.2926829268,-136,1.7073170732,-6,0.3658536585,2,-0.0086956522,-46,-0.2,143,-0.6975609756
12888990,17636.71875,-3072,1.8835070509,416,0.2550582465,-15328,9.3979153893,-31,7.1951219512,-118,1.8902439024,-2,0.1219512195,2,-0.0086956522,-43,-0.1869565217,141,-0.687804878
12889630,17656.25,-2832,1.7363580625,448,0.2746781116,-15472,9.4862047823,-4,5.3658536585,-88,0.243902439,3,-0.1829268293,0,0,-43,-0.1869565217,141,-0.687804878
12890270,17675.78125,-2848,1.7461679951,384,0.2354383814,-15424,9.4567749847,-4,5.3658536585,-88,0.243902439,3,-0.1829268293,3,-0.0130434783,-43,-0.1869565217,141,-0.687804878
12890910,17695.3125,-3088,1.8933169834,496,0.3041079093,-15376,9.427345187,13,4.5731707317,-75,-0.7926829268,14,-0.8536585366,2,-0.0086956522,-40,-0.1739130435,141,-0.687804878
12891550,17714.84375,-3008,1.8442673207,528,0.3237277744,-15312,9.3881054568,-15,3.9634146341,-65,0.9146341463,6,-0.3658536585,1,-0.0043478261,-40,-0.1739130435,139,-0.6780487805
12892190,17734.375,-2816,1.72654813,432,0.264868179,-15344,9.4077253219,-15,3.9634146341,-65,0.9146341463,6,-0.3658536585,3,-0.0130434783,-43,-0.1869565217,140,-0.6829268293
12892830,17753.90625,-2848,1.7461679951,432,0.264868179,-15392,9.4371551196,26,2.8048780488,-46,-1.5853658537,-1,0.0609756098,2,-0.0086956522,-44,-0.1913043478,141,-0.687804878
12893470,17773.4375,-3008,1.8442673207,544,0.3335377069,-15600,9.5646842428,26,2.8048780488,-46,-1.5853658537,-1,0.0609756098,1,-0.0043478261,-46,-0.2,142,-0.6926829268
12894110,17792.96875,-2928,1.7952176579,416,0.2550582465,-15536,9.5254445126,8,1.6463414634,-27,-0.487804878,-3,0.1829268293,2,-0.0086956522,-47,-0.2043478261,142,-0.6926829268
12894750,17812.5,-2944,1.8050275904,384,0.2354383814,-15616,9.5744941754,1,1.2804878049,-21,-0.0609756098,3,-0.1829268293,0,0,-46,-0.2,140,-0.6829268293
12895390,17832.03125,-3040,1.8638871858,432,0.264868179,-15632,9.5843041079,1,1.2804878049,-21,-0.0609756098,3,-0.1829268293,3,-0.0130434783,-47,-0.2043478261,141,-0.687804878
12896030,17851.5625,-2960,1.814837523,416,0.2550582465,-15792,9.6824034335,-8,1.4634146341,-24,0.487804878,-4,0.243902439,0,0,-42,-0.1826086957,141,-0.687804878
